model,policy,mode,transform,dataset,node
qwen25vl_72b,default,text_image,baseline,AI2D_TEST,0
qwen25vl_72b,default,image_text_text,baseline,AI2D_TEST,0
qwen25vl_72b,default,image_text_image_text,baseline,AI2D_TEST,0
qwen25vl_3b,default,image_text,baseline,AI2D_TEST,0
qwen25vl_3b,default,text_image,baseline,AI2D_TEST,0
qwen25vl_3b,default,image_image_text,baseline,AI2D_TEST,0
qwen25vl_3b,default,image_text_image,baseline,AI2D_TEST,0
qwen25vl_3b,default,image_text_text,baseline,AI2D_TEST,0
qwen25vl_3b,default,image_text_image_text,baseline,AI2D_TEST,0
qwen25vl_3b,default,image_text,baseline,OCRBench,0
qwen25vl_3b,default,text_image,baseline,OCRBench,0
qwen25vl_3b,default,image_image_text,baseline,OCRBench,0
qwen25vl_3b,default,image_text_image,baseline,OCRBench,0
qwen25vl_3b,default,image_text_text,baseline,OCRBench,0
qwen25vl_3b,default,image_text_image_text,baseline,OCRBench,0
qwen25vl_3b,default,image_text,baseline,SEEDBench2_Plus,0
qwen25vl_3b,default,text_image,baseline,SEEDBench2_Plus,0
qwen25vl_3b,default,image_image_text,baseline,SEEDBench2_Plus,0
qwen25vl_3b,default,image_text_image,baseline,SEEDBench2_Plus,0
qwen25vl_3b,default,image_text_text,baseline,SEEDBench2_Plus,0
qwen25vl_3b,default,image_text_image_text,baseline,SEEDBench2_Plus,0
