model,policy,mode,transform,dataset,node
gemma3_27b,default,image_text,baseline,DynaMath,0
gemma3_27b,default,image_text,baseline,LogicVista,0
gemma3_27b,default,image_text,baseline,AI2D_TEST,0
gemma3_27b,default,image_text,baseline,SEEDBench2_Plus,0
gemma3_27b,default,image_text,baseline,WeMath,0
gemma3_27b,default,image_text,baseline,MMStar,0
gemma3_27b,default,text_image,baseline,MathVision,0
gemma3_27b,default,text_image,baseline,VisualPuzzles,0
gemma3_27b,default,text_image,baseline,OCRBench,0
gemma3_27b,default,text_image,baseline,MMMU_DEV_VAL_SINGLE_IMAGE,0
gemma3_27b,default,text_image,baseline,MMBench_DEV_EN_V11,0
gemma3_27b,default,image_image_text,baseline,DynaMath,0
gemma3_27b,default,image_image_text,baseline,LogicVista,0
gemma3_27b,default,image_image_text,baseline,AI2D_TEST,0
gemma3_27b,default,image_image_text,baseline,SEEDBench2_Plus,0
gemma3_27b,default,image_image_text,baseline,WeMath,0
gemma3_27b,default,image_image_text,baseline,MMStar,0
gemma3_27b,default,image_text_image,baseline,MathVision,0
gemma3_27b,default,image_text_image,baseline,VisualPuzzles,0
gemma3_27b,default,image_text_image,baseline,OCRBench,0
gemma3_27b,default,image_text_image,baseline,MMMU_DEV_VAL_SINGLE_IMAGE,0
gemma3_27b,default,image_text_image,baseline,MMBench_DEV_EN_V11,0
gemma3_27b,default,image_text_text,baseline,DynaMath,0
gemma3_27b,default,image_text_text,baseline,LogicVista,0
gemma3_27b,default,image_text_text,baseline,AI2D_TEST,0
gemma3_27b,default,image_text_text,baseline,SEEDBench2_Plus,0
gemma3_27b,default,image_text_text,baseline,WeMath,0
gemma3_27b,default,image_text_text,baseline,MMStar,0
gemma3_27b,default,image_text_image_text,baseline,MathVision,0
gemma3_27b,default,image_text_image_text,baseline,VisualPuzzles,0
gemma3_27b,default,image_text_image_text,baseline,OCRBench,0
gemma3_27b,default,image_text_image_text,baseline,MMMU_DEV_VAL_SINGLE_IMAGE,0
gemma3_27b,default,image_text_image_text,baseline,MMBench_DEV_EN_V11,0
gemma3_12b,default,image_text,baseline,DynaMath,0
gemma3_12b,default,image_text,baseline,LogicVista,0
gemma3_12b,default,image_text,baseline,AI2D_TEST,0
gemma3_12b,default,image_text,baseline,SEEDBench2_Plus,0
gemma3_12b,default,image_text,baseline,WeMath,0
gemma3_12b,default,image_text,baseline,MMStar,0
gemma3_12b,default,text_image,baseline,MathVision,0
gemma3_12b,default,text_image,baseline,VisualPuzzles,0
gemma3_12b,default,text_image,baseline,OCRBench,0
gemma3_12b,default,text_image,baseline,MMMU_DEV_VAL_SINGLE_IMAGE,0
gemma3_12b,default,text_image,baseline,MMBench_DEV_EN_V11,0
gemma3_12b,default,image_image_text,baseline,DynaMath,0
gemma3_12b,default,image_image_text,baseline,LogicVista,0
gemma3_12b,default,image_image_text,baseline,AI2D_TEST,0
gemma3_12b,default,image_image_text,baseline,SEEDBench2_Plus,0
gemma3_12b,default,image_image_text,baseline,WeMath,0
gemma3_12b,default,image_image_text,baseline,MMStar,0
gemma3_12b,default,image_text_image,baseline,MathVision,0
gemma3_12b,default,image_text_image,baseline,VisualPuzzles,0
gemma3_12b,default,image_text_image,baseline,OCRBench,0
gemma3_12b,default,image_text_image,baseline,MMMU_DEV_VAL_SINGLE_IMAGE,0
gemma3_12b,default,image_text_image,baseline,MMBench_DEV_EN_V11,0
gemma3_12b,default,image_text_text,baseline,DynaMath,0
gemma3_12b,default,image_text_text,baseline,LogicVista,0
gemma3_12b,default,image_text_text,baseline,AI2D_TEST,0
gemma3_12b,default,image_text_text,baseline,SEEDBench2_Plus,0
gemma3_12b,default,image_text_text,baseline,WeMath,0
gemma3_12b,default,image_text_text,baseline,MMStar,0
gemma3_12b,default,image_text_image_text,baseline,MathVision,0
gemma3_12b,default,image_text_image_text,baseline,VisualPuzzles,0
gemma3_12b,default,image_text_image_text,baseline,OCRBench,0
