model_key,policy,mode,transform,dataset,kind,status,weight
qwen25vl_32b,default,image_text,baseline,DynaMath,baseline,reuse_full,5010.00
qwen25vl_32b,default,image_text,baseline,MathVision,baseline,reuse_full,3040.00
qwen25vl_32b,default,image_text,baseline,LogicVista,baseline,reuse_full,447.00
qwen25vl_32b,default,image_text,baseline,VisualPuzzles,baseline,reuse_full,1168.00
qwen25vl_32b,default,image_text,baseline,AI2D_TEST,baseline,reuse_full,3088.00
qwen25vl_32b,default,image_text,baseline,OCRBench,baseline,reuse_full,1000.00
qwen25vl_32b,default,image_text,baseline,SEEDBench2_Plus,baseline,reuse_full,2277.00
qwen25vl_32b,default,image_text,baseline,MathVista_MINI,baseline,reuse_full,1000.00
qwen25vl_32b,default,image_text,baseline,VisuLogic,baseline,reuse_full,1000.00
qwen25vl_32b,default,image_text,baseline,MMMU_DEV_VAL,baseline,reuse_full,1050.00
qwen25vl_32b,default,text_image,baseline,DynaMath,baseline,reuse_full,5010.00
qwen25vl_32b,default,text_image,baseline,MathVision,baseline,reuse_full,3040.00
qwen25vl_32b,default,text_image,baseline,LogicVista,baseline,reuse_full,447.00
qwen25vl_32b,default,text_image,baseline,VisualPuzzles,baseline,reuse_full,1168.00
qwen25vl_32b,default,text_image,baseline,AI2D_TEST,baseline,reuse_full,3088.00
qwen25vl_32b,default,text_image,baseline,OCRBench,baseline,reuse_full,1000.00
qwen25vl_32b,default,text_image,baseline,SEEDBench2_Plus,baseline,reuse_full,2277.00
qwen25vl_32b,default,text_image,baseline,MathVista_MINI,baseline,reuse_full,1000.00
qwen25vl_32b,default,text_image,baseline,VisuLogic,baseline,reuse_full,1000.00
qwen25vl_32b,default,text_image,baseline,MMMU_DEV_VAL,baseline,reuse_full,1050.00
qwen25vl_32b,default,image_image_text,baseline,DynaMath,baseline,reuse_full,10020.00
qwen25vl_32b,default,image_image_text,baseline,MathVision,baseline,reuse_full,6080.00
qwen25vl_32b,default,image_image_text,baseline,LogicVista,baseline,reuse_full,894.00
qwen25vl_32b,default,image_image_text,baseline,VisualPuzzles,baseline,reuse_full,2336.00
qwen25vl_32b,default,image_image_text,baseline,AI2D_TEST,baseline,reuse_full,6176.00
qwen25vl_32b,default,image_image_text,baseline,OCRBench,baseline,reuse_full,2000.00
qwen25vl_32b,default,image_image_text,baseline,SEEDBench2_Plus,baseline,reuse_full,4554.00
qwen25vl_32b,default,image_image_text,baseline,MathVista_MINI,baseline,reuse_full,2000.00
qwen25vl_32b,default,image_image_text,baseline,VisuLogic,baseline,reuse_full,2000.00
qwen25vl_32b,default,image_image_text,baseline,MMMU_DEV_VAL,baseline,reuse_full,2100.00
qwen25vl_32b,default,image_text_image,baseline,DynaMath,baseline,reuse_full,10020.00
qwen25vl_32b,default,image_text_image,baseline,MathVision,baseline,reuse_full,6080.00
qwen25vl_32b,default,image_text_image,baseline,LogicVista,baseline,reuse_full,894.00
qwen25vl_32b,default,image_text_image,baseline,VisualPuzzles,baseline,reuse_full,2336.00
qwen25vl_32b,default,image_text_image,baseline,AI2D_TEST,baseline,reuse_full,6176.00
qwen25vl_32b,default,image_text_image,baseline,OCRBench,baseline,reuse_full,2000.00
qwen25vl_32b,default,image_text_image,baseline,SEEDBench2_Plus,baseline,reuse_full,4554.00
qwen25vl_32b,default,image_text_image,baseline,MathVista_MINI,baseline,reuse_full,2000.00
qwen25vl_32b,default,image_text_image,baseline,VisuLogic,baseline,reuse_full,2000.00
qwen25vl_32b,default,image_text_image,baseline,MMMU_DEV_VAL,baseline,reuse_full,2100.00
qwen25vl_32b,default,image_text_text,baseline,DynaMath,baseline,reuse_full,5511.00
qwen25vl_32b,default,image_text_text,baseline,MathVision,baseline,reuse_full,3344.00
qwen25vl_32b,default,image_text_text,baseline,LogicVista,baseline,reuse_full,491.70
qwen25vl_32b,default,image_text_text,baseline,VisualPuzzles,baseline,reuse_full,1284.80
qwen25vl_32b,default,image_text_text,baseline,AI2D_TEST,baseline,reuse_full,3396.80
qwen25vl_32b,default,image_text_text,baseline,OCRBench,baseline,reuse_full,1100.00
qwen25vl_32b,default,image_text_text,baseline,SEEDBench2_Plus,baseline,reuse_full,2504.70
qwen25vl_32b,default,image_text_text,baseline,MathVista_MINI,baseline,reuse_full,1100.00
qwen25vl_32b,default,image_text_text,baseline,VisuLogic,baseline,reuse_full,1100.00
qwen25vl_32b,default,image_text_text,baseline,MMMU_DEV_VAL,baseline,reuse_full,1155.00
qwen25vl_32b,default,image_text_image_text,baseline,DynaMath,baseline,reuse_full,10521.00
qwen25vl_32b,default,image_text_image_text,baseline,MathVision,baseline,reuse_full,6384.00
qwen25vl_32b,default,image_text_image_text,baseline,LogicVista,baseline,reuse_full,938.70
