model_key,policy,mode,transform,dataset,kind,status,weight
qwen25vl_7b,default,image_text,baseline,MathVision,baseline,missing,3040.00
qwen25vl_7b,default,image_text,baseline,DynaMath,baseline,missing,5010.00
qwen25vl_7b,default,image_text,baseline,LogicVista,baseline,missing,447.00
qwen25vl_7b,default,image_text,baseline,VisualPuzzles,baseline,missing,1168.00
qwen25vl_7b,default,image_text,baseline,MathVista_MINI,baseline,missing,1000.00
qwen25vl_7b,default,image_text,baseline,AI2D_TEST,baseline,missing,3088.00
qwen25vl_7b,default,image_text,baseline,OCRBench,baseline,missing,1000.00
qwen25vl_7b,default,image_text,baseline,SEEDBench2_Plus,baseline,missing,2277.00
qwen25vl_7b,default,text_image,baseline,MathVision,baseline,missing,3040.00
qwen25vl_7b,default,text_image,baseline,DynaMath,baseline,missing,5010.00
qwen25vl_7b,default,text_image,baseline,LogicVista,baseline,missing,447.00
qwen25vl_7b,default,text_image,baseline,VisualPuzzles,baseline,missing,1168.00
qwen25vl_7b,default,text_image,baseline,MathVista_MINI,baseline,missing,1000.00
qwen25vl_7b,default,text_image,baseline,AI2D_TEST,baseline,missing,3088.00
qwen25vl_7b,default,text_image,baseline,OCRBench,baseline,missing,1000.00
qwen25vl_7b,default,text_image,baseline,SEEDBench2_Plus,baseline,missing,2277.00
qwen25vl_7b,default,image_image_text,baseline,MathVision,baseline,missing,6080.00
qwen25vl_7b,default,image_image_text,baseline,DynaMath,baseline,missing,10020.00
qwen25vl_7b,default,image_image_text,baseline,LogicVista,baseline,missing,894.00
qwen25vl_7b,default,image_image_text,baseline,VisualPuzzles,baseline,missing,2336.00
qwen25vl_7b,default,image_image_text,baseline,MathVista_MINI,baseline,missing,2000.00
qwen25vl_7b,default,image_image_text,baseline,AI2D_TEST,baseline,missing,6176.00
qwen25vl_7b,default,image_image_text,baseline,OCRBench,baseline,missing,2000.00
qwen25vl_7b,default,image_image_text,baseline,SEEDBench2_Plus,baseline,missing,4554.00
qwen25vl_7b,default,image_text_image,baseline,MathVision,baseline,missing,6080.00
qwen25vl_7b,default,image_text_image,baseline,DynaMath,baseline,missing,10020.00
qwen25vl_7b,default,image_text_image,baseline,LogicVista,baseline,missing,894.00
qwen25vl_7b,default,image_text_image,baseline,VisualPuzzles,baseline,missing,2336.00
qwen25vl_7b,default,image_text_image,baseline,MathVista_MINI,baseline,missing,2000.00
qwen25vl_7b,default,image_text_image,baseline,AI2D_TEST,baseline,missing,6176.00
qwen25vl_7b,default,image_text_image,baseline,OCRBench,baseline,missing,2000.00
qwen25vl_7b,default,image_text_image,baseline,SEEDBench2_Plus,baseline,missing,4554.00
qwen25vl_7b,default,image_text_text,baseline,MathVision,baseline,missing,3344.00
qwen25vl_7b,default,image_text_text,baseline,DynaMath,baseline,missing,5511.00
qwen25vl_7b,default,image_text_text,baseline,LogicVista,baseline,missing,491.70
qwen25vl_7b,default,image_text_text,baseline,VisualPuzzles,baseline,missing,1284.80
qwen25vl_7b,default,image_text_text,baseline,MathVista_MINI,baseline,missing,1100.00
qwen25vl_7b,default,image_text_text,baseline,AI2D_TEST,baseline,missing,3396.80
qwen25vl_7b,default,image_text_text,baseline,OCRBench,baseline,missing,1100.00
qwen25vl_7b,default,image_text_text,baseline,SEEDBench2_Plus,baseline,missing,2504.70
qwen25vl_7b,default,image_text_image_text,baseline,MathVision,baseline,missing,6384.00
qwen25vl_7b,default,image_text_image_text,baseline,DynaMath,baseline,missing,10521.00
qwen25vl_7b,default,image_text_image_text,baseline,LogicVista,baseline,missing,938.70
qwen25vl_7b,default,image_text_image_text,baseline,VisualPuzzles,baseline,missing,2452.80
qwen25vl_7b,default,image_text_image_text,baseline,MathVista_MINI,baseline,missing,2100.00
qwen25vl_7b,default,image_text_image_text,baseline,AI2D_TEST,baseline,missing,6484.80
qwen25vl_7b,default,image_text_image_text,baseline,OCRBench,baseline,missing,2100.00
qwen25vl_7b,default,image_text_image_text,baseline,SEEDBench2_Plus,baseline,missing,4781.70
qwen25vl_7b,default,image_text_image,mask10_white,MathVision,replace,missing,6080.00
qwen25vl_7b,default,image_text_image,mask10_white,DynaMath,replace,missing,10020.00
qwen25vl_7b,default,image_text_image,mask10_white,LogicVista,replace,missing,894.00
qwen25vl_7b,default,image_text_image,mask10_white,VisualPuzzles,replace,missing,2336.00
qwen25vl_7b,default,image_text_image,mask10_white,MathVista_MINI,replace,missing,2000.00
qwen25vl_7b,default,image_text_image,mask10_white,AI2D_TEST,replace,missing,6176.00
qwen25vl_7b,default,image_text_image,mask10_white,OCRBench,replace,missing,2000.00
qwen25vl_7b,default,image_text_image,mask10_white,SEEDBench2_Plus,replace,missing,4554.00
qwen25vl_7b,default,image_text_image,mask20_white,MathVision,replace,missing,6080.00
qwen25vl_7b,default,image_text_image,mask20_white,DynaMath,replace,missing,10020.00
qwen25vl_7b,default,image_text_image,mask20_white,LogicVista,replace,missing,894.00
qwen25vl_7b,default,image_text_image,mask20_white,VisualPuzzles,replace,missing,2336.00
qwen25vl_7b,default,image_text_image,mask20_white,MathVista_MINI,replace,missing,2000.00
qwen25vl_7b,default,image_text_image,mask20_white,AI2D_TEST,replace,missing,6176.00
qwen25vl_7b,default,image_text_image,mask20_white,OCRBench,replace,missing,2000.00
qwen25vl_7b,default,image_text_image,mask20_white,SEEDBench2_Plus,replace,missing,4554.00
qwen25vl_7b,default,image_text_image,blank,MathVision,replace,missing,6080.00
qwen25vl_7b,default,image_text_image,blank,DynaMath,replace,missing,10020.00
qwen25vl_7b,default,image_text_image,blank,LogicVista,replace,missing,894.00
qwen25vl_7b,default,image_text_image,blank,VisualPuzzles,replace,missing,2336.00
qwen25vl_7b,default,image_text_image,blank,MathVista_MINI,replace,missing,2000.00
qwen25vl_7b,default,image_text_image,blank,AI2D_TEST,replace,missing,6176.00
qwen25vl_7b,default,image_text_image,blank,OCRBench,replace,missing,2000.00
