model_key,policy,mode,transform,dataset,kind,status,weight
qwen25vl_72b,default,image_text,baseline,MathVision,reasoning4_new_entry,todo,6.0
qwen25vl_72b,default,text_image,baseline,VisualPuzzles,reasoning4_new_entry,todo,6.0
qwen25vl_72b,default,image_image_text,baseline,LogicVista,reasoning4_new_entry,todo,6.0
qwen25vl_72b,default,image_text_image,baseline,DynaMath,reasoning4_new_entry,todo,6.0
qwen25vl_72b,default,image_text_text,baseline,MathVision,reasoning4_new_entry,todo,6.0
qwen25vl_72b,default,image_text_image_text,baseline,VisualPuzzles,reasoning4_new_entry,todo,6.0
qwen25vl_32b,default,image_text,baseline,VisualPuzzles,reasoning4_new_entry,todo,3.0
qwen25vl_32b,default,text_image,baseline,LogicVista,reasoning4_new_entry,todo,3.0
qwen25vl_32b,default,image_image_text,baseline,DynaMath,reasoning4_new_entry,todo,3.0
qwen25vl_32b,default,image_text_image,baseline,MathVision,reasoning4_new_entry,todo,3.0
qwen25vl_32b,default,image_text_text,baseline,VisualPuzzles,reasoning4_new_entry,todo,3.0
qwen25vl_32b,default,image_text_image_text,baseline,LogicVista,reasoning4_new_entry,todo,3.0
qwen25vl_7b,default,image_text,baseline,LogicVista,reasoning4_new_entry,todo,1.1
qwen25vl_7b,default,text_image,baseline,DynaMath,reasoning4_new_entry,todo,1.1
qwen25vl_7b,default,image_image_text,baseline,MathVision,reasoning4_new_entry,todo,1.1
qwen25vl_7b,default,image_text_image,baseline,VisualPuzzles,reasoning4_new_entry,todo,1.1
qwen25vl_7b,default,image_text_text,baseline,LogicVista,reasoning4_new_entry,todo,1.1
qwen25vl_7b,default,image_text_image_text,baseline,DynaMath,reasoning4_new_entry,todo,1.1
qwen25vl_3b,default,image_text,baseline,DynaMath,reasoning4_new_entry,todo,0.9
qwen25vl_3b,default,text_image,baseline,MathVision,reasoning4_new_entry,todo,0.9
qwen25vl_3b,default,image_image_text,baseline,VisualPuzzles,reasoning4_new_entry,todo,0.9
qwen25vl_3b,default,image_text_image,baseline,LogicVista,reasoning4_new_entry,todo,0.9
qwen25vl_3b,default,image_text_text,baseline,DynaMath,reasoning4_new_entry,todo,0.9
qwen25vl_3b,default,image_text_image_text,baseline,MathVision,reasoning4_new_entry,todo,0.9
