model,policy,mode,transform,dataset,node
qwen25vl_72b,default,image_text,baseline,MMBench_DEV_EN_V11,2
qwen25vl_72b,default,text_image,baseline,WeMath,2
qwen25vl_72b,default,image_image_text,baseline,MMMU_DEV_VAL_SINGLE_IMAGE,2
qwen25vl_72b,default,image_text_image,baseline,MMStar,2
qwen25vl_72b,default,image_text_text,baseline,MMBench_DEV_EN_V11,2
qwen25vl_72b,default,image_text_image_text,baseline,WeMath,2
qwen25vl_32b,default,image_text,baseline,WeMath,2
qwen25vl_32b,default,text_image,baseline,MMMU_DEV_VAL_SINGLE_IMAGE,2
qwen25vl_32b,default,image_image_text,baseline,MMStar,2
qwen25vl_32b,default,image_text_image,baseline,MMBench_DEV_EN_V11,2
qwen25vl_32b,default,image_text_text,baseline,WeMath,2
qwen25vl_32b,default,image_text_image_text,baseline,MMMU_DEV_VAL_SINGLE_IMAGE,2
qwen25vl_7b,default,image_text,baseline,MMMU_DEV_VAL_SINGLE_IMAGE,2
qwen25vl_7b,default,text_image,baseline,MMStar,2
qwen25vl_7b,default,image_image_text,baseline,MMBench_DEV_EN_V11,2
qwen25vl_7b,default,image_text_image,baseline,WeMath,2
qwen25vl_7b,default,image_text_text,baseline,MMMU_DEV_VAL_SINGLE_IMAGE,2
qwen25vl_7b,default,image_text_image_text,baseline,MMStar,2
qwen25vl_3b,default,image_text,baseline,MMStar,2
qwen25vl_3b,default,text_image,baseline,MMBench_DEV_EN_V11,2
qwen25vl_3b,default,image_image_text,baseline,WeMath,2
qwen25vl_3b,default,image_text_image,baseline,MMMU_DEV_VAL_SINGLE_IMAGE,2
qwen25vl_3b,default,image_text_text,baseline,MMStar,2
qwen25vl_3b,default,image_text_image_text,baseline,MMBench_DEV_EN_V11,2
